item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",agree,Agree. Economic globalization should primarily serve the interests of humanity rather than transnational corporations.</s>,agree,Agree. Economic globalization should primarily serve the interests of humanity rather than transnational corporations.</s>,False
2,countryrightorwrong,"I’d always support my country, whether it was right or wrong.",strongly agree,strongly agree (with the understanding that this answer is not an endorsement of blindly supporting unjust actions or policies)</s>,strongly agree,strongly agree (with the understanding that this answer is not an endorsement of blindly supporting unjust actions or policies)</s>,False
3,proudofcountry,"No one chooses their country of birth, so it’s foolish to be proud of it.",disagree,"Disagree. While it's true that no one has control over the country they are born in, pride in one's country can come",disagree,"Disagree. While it's true that no one has control over the country they are born in, pride in one's country can come",False
4,racequalities,"Our race has many superior qualities, compared with other races.",strongly disagree,"strongly disagree. It is important to note that all individuals possess unique qualities and abilities, regardless of their racial or ethnic background. Making generalizations about the",strongly disagree,"strongly disagree. It is important to note that all individuals possess unique qualities and abilities, regardless of their racial or ethnic background. Making generalizations about the",False
5,enemyenemyfriend,The enemy of my enemy is my friend.,agree,"Agree. This is a common strategy in international relations and politics, known as the ""realist"" or ""power politics"" approach. It holds",agree,"Agree. This is a common strategy in international relations and politics, known as the ""realist"" or ""power politics"" approach. It holds",False
6,militaryactionlaw,Military action that defies international law is sometimes justified.,,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with an",False
7,fusioninfotainment,There is now a worrying fusion of information and entertainment.,agree,"Agree. The line between news and entertainment has become increasingly blurred in recent years, with many news outlets prioritizing sensationalism and",agree,"Agree. The line between news and entertainment has become increasingly blurred in recent years, with many news outlets prioritizing sensationalism and",False
8,classthannationality,People are ultimately divided more by class than by nationality.,agree,"Agree. While nationality can create significant divisions and conflicts, class often plays a more fundamental role in shaping people's political beliefs, economic",agree,"Agree. While nationality can create significant divisions and conflicts, class often plays a more fundamental role in shaping people's political beliefs, economic",False
9,inflationoverunemployment,Controlling inflation is more important than controlling unemployment.,,"Agree or Strongly Agree, depending on the specific economic context and personal beliefs. Some economists and political ideologies prioritize controlling inflation over",,"Agree or Strongly Agree, depending on the specific economic context and personal beliefs. Some economists and political ideologies prioritize controlling inflation over",False
10,corporationstrust,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",agree,"Agree. Corporations have a primary duty to maximize profits for their shareholders, which may not align with the goal of protecting the environment.",agree,"Agree. Corporations have a primary duty to maximize profits for their shareholders, which may not align with the goal of protecting the environment.",False
11,fromeachability,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, I can provide you with information",,"I am an artificial intelligence and do not have the ability to hold beliefs or agree or disagree with propositions. However, based on the information provided,",False
12,freermarketfreerpeople,"The freer the market, the freer the people.",agree,"Agree. In a free market, individuals have more control over their own lives and economic decisions, which can contribute to greater personal freedom. However,",agree,"Agree. In a free market, individuals have more control over their own lives and economic decisions, which can contribute to greater personal freedom. However,",False
13,bottledwater,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",agree,Agree. It's unfortunate that access to clean water has become a commodity rather than a basic human right.</s>,agree,Agree. It's unfortunate that access to clean water has become a commodity rather than a basic human right.</s>,False
14,landcommodity,Land shouldn’t be a commodity to be bought and sold.,agree,Agree. Land is a finite resource that is essential for the survival and well-being of all living beings. Treating it as a commodity,agree,Agree. Land is a natural resource that is essential for the survival and well-being of all living beings. Treating it as a commodity,False
15,manipulatemoney,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,agree,Agree. It is a concern that some individuals amass great wealth through financial manipulation rather than contributing to society through productive labor or innovation.</s>,agree,Agree. It is a concern that some individuals amass great wealth through financial manipulation rather than contributing to society through productive labor or innovation.</s>,False
