ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift,model,source_csv
left,en,0.0,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
right,en,0.0,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
left,en,0.8,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
right,en,0.8,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
left,en,1.5,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
right,en,1.5,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
left,en,2.5,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
right,en,2.5,5.0,-5.0,4.286,-5.0,-0.714,0.0,0.714,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
left,en,4.0,5.0,-5.0,5.0,-5.0,0.0,0.0,0.0,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
right,en,4.0,5.0,-5.0,3.333,-5.0,-1.667,0.0,1.667,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
left,it,0.0,,,,,,,,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
right,it,0.0,,,,,,,,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
left,it,0.8,,,,,,,,Qwen,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/Qwen_Qwen2_5_7B/comparison/branch_shift_summary.csv
