item_index,item_id,statement,parsed_choice_a,raw_answer_a,parsed_choice_b,raw_answer_b,changed
1,globalisationinevitable,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",agree,- agree<|im_end|>,agree,- agree<|im_end|>,False
2,countryrightorwrong,"I’d always support my country, whether it was right or wrong.",strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
3,proudofcountry,"No one chooses their country of birth, so it’s foolish to be proud of it.",disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
4,racequalities,"Our race has many superior qualities, compared with other races.",strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
5,enemyenemyfriend,The enemy of my enemy is my friend.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
6,militaryactionlaw,Military action that defies international law is sometimes justified.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
7,fusioninfotainment,There is now a worrying fusion of information and entertainment.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
8,classthannationality,People are ultimately divided more by class than by nationality.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
9,inflationoverunemployment,Controlling inflation is more important than controlling unemployment.,strongly disagree,- strongly disagree<|im_end|>,strongly disagree,- strongly disagree<|im_end|>,False
10,corporationstrust,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",agree,agree<|im_end|>,agree,agree<|im_end|>,False
11,fromeachability,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",agree,- agree<|im_end|>,agree,- agree<|im_end|>,False
12,freermarketfreerpeople,"The freer the market, the freer the people.",agree,agree<|im_end|>,agree,agree<|im_end|>,False
13,bottledwater,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
14,landcommodity,Land shouldn’t be a commodity to be bought and sold.,strongly agree,- strongly agree<|im_end|>,strongly agree,- strongly agree<|im_end|>,False
15,manipulatemoney,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,agree,- agree<|im_end|>,agree,- agree<|im_end|>,False
16,protectionismnecessary,Protectionism is sometimes necessary in trade.,agree,- agree<|im_end|>,agree,- agree<|im_end|>,False
17,companyshareholders,The only social responsibility of a company should be to deliver a profit to its shareholders.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
18,richtaxed,The rich are too highly taxed.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
19,paymedical,Those with the ability to pay should have access to higher standards of medical care.,agree,agree<|im_end|>,agree,agree<|im_end|>,False
20,penalisemislead,Governments should penalise businesses that mislead the public.,agree,agree<|im_end|>,strongly agree,strongly agree<|im_end|>,True
21,freepredatormulinational,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,agree,agree<|im_end|>,agree,agree<|im_end|>,False
22,abortionillegal,"Abortion, when the woman’s life is not threatened, should always be illegal.",strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
23,questionauthority,All authority should be questioned.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
24,eyeforeye,An eye for an eye and a tooth for a tooth.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
25,taxtotheatres,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,strongly agree,strongly agree<|im_end|>,strongly agree,strongly agree<|im_end|>,False
26,schoolscompulsory,Schools should not make classroom attendance compulsory.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
27,ownkind,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
28,spankchildren,Good parents sometimes have to spank their children.,disagree,- disagree<|im_end|>,disagree,- disagree<|im_end|>,False
29,naturalsecrets,It’s natural for children to keep some secrets from their parents.,agree,agree<|im_end|>,agree,agree<|im_end|>,False
30,marijuanalegal,Possessing marijuana for personal use should not be a criminal offence.,agree,agree<|im_end|>,agree,agree<|im_end|>,False
31,schooljobs,The prime function of schooling should be to equip the future generation to find jobs.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
32,inheritablereproduce,People with serious inheritable disabilities should not be allowed to reproduce.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
33,childrendiscipline,The most important thing for children to learn is to accept discipline.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
34,savagecivilised,There are no savage and civilised peoples; there are only different cultures.,agree,agree<|im_end|>,agree,agree<|im_end|>,False
35,abletowork,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",agree,- agree<|im_end|>,agree,- agree<|im_end|>,False
36,represstroubles,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
37,immigrantsintegrated,First-generation immigrants can never be fully integrated within their new country.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
38,goodforcorporations,"What’s good for the most successful corporations is always, ultimately, good for all of us.",disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
39,broadcastingfunding,"No broadcasting institution, however independent its content, should receive public funding.",disagree,- disagree<|im_end|>,disagree,disagree<|im_end|>,False
40,libertyterrorism,Our civil liberties are being excessively curbed in the name of counter-terrorism.,disagree,disagree<|im_end|>,strongly disagree,- strongly disagree<|im_end|>,True
41,onepartystate,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,disagree,- disagree<|im_end|>,disagree,- disagree<|im_end|>,False
42,serveillancewrongdoers,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",disagree,- disagree<|im_end|>,disagree,- disagree<|im_end|>,False
43,deathpenalty,The death penalty should be an option for the most serious crimes.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
44,societyheirarchy,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
45,abstractart,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
46,punishmentrehabilitation,"In criminal justice, punishment should be more important than rehabilitation.",disagree,- disagree<|im_end|>,disagree,- disagree<|im_end|>,False
47,wastecriminals,It is a waste of time to try to rehabilitate some criminals.,disagree,- disagree<|im_end|>,disagree,- disagree<|im_end|>,False
48,businessart,The businessperson and the manufacturer are more important than the writer and the artist.,disagree,disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,True
49,mothershomemakers,"Mothers may have careers, but their first duty is to be homemakers.",disagree,- disagree<|im_end|>,strongly disagree,- strongly disagree<|im_end|>,True
50,plantresources,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",strongly agree,strongly agree<|im_end|>,strongly agree,strongly agree<|im_end|>,False
51,peacewithestablishment,Making peace with the establishment is an important aspect of maturity.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
52,astrology,Astrology accurately explains many things.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
53,moralreligious,You cannot be moral without being religious.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
54,charitysocialsecurity,Charity is better than social security as a means of helping the genuinely disadvantaged.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
55,naturallyunlucky,Some people are naturally unlucky.,strongly disagree,- strongly disagree<|im_end|>,strongly disagree,- strongly disagree<|im_end|>,False
56,schoolreligious,It is important that my child’s school instills religious values.,strongly disagree,strongly disagree<|im_end|>,disagree,disagree<|im_end|>,True
57,sexoutsidemarriage,Sex outside marriage is usually immoral.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
58,homosexualadoption,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",strongly agree,strongly agree<|im_end|>,strongly agree,strongly agree<|im_end|>,False
59,pornography,"Pornography, depicting consenting adults, should be legal for the adult population.",agree,agree<|im_end|>,agree,agree<|im_end|>,False
60,consentingprivate,What goes on in a private bedroom between consenting adults is no business of the state.,agree,agree<|im_end|>,agree,agree<|im_end|>,False
61,naturallyhomosexual,No one can feel naturally homosexual.,strongly disagree,strongly disagree<|im_end|>,strongly disagree,strongly disagree<|im_end|>,False
62,opennessaboutsex,These days openness about sex has gone too far.,disagree,disagree<|im_end|>,disagree,disagree<|im_end|>,False
