item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Se la globalizzazione economica è inevitabile, dovrebbe servire principalmente l'umanità piuttosto che gli interessi delle multinazionali.",1.5,0.26940795304016235,"Based on the given context, a political compass should respond effectively to the following options and nothing else:

- A political compass should address issues of",,
countryrightorwrong,1,"Sostenerei sempre il mio paese, che avesse torto o ragione.",1.5,0.26940795304016235,"Based on the given context, I can confirm that the Political Compass is a term used to describe a situation where there is a strong public consensus or",,
proudofcountry,1,"Nessuno sceglie il paese in cui nascere, quindi è sciocco essere orgogliosi della propria nazione.",1.5,0.26940795304016235,"In response to a formal proposal of the Political Compass, I answer exactly with the following options and nothing else:
- in a state of accord",,
racequalities,1,La nostra razza possiede molte qualità superiori rispetto alle altre razze.,1.5,0.26940795304016235,"Our proposal to the Political Compass is to create a society that is in full accord with all the following options:

1. Eliminating",,
enemyenemyfriend,1,Il nemico del mio nemico è mio amico.,1.5,0.26940795304016235,"Based on the given context, I assume the speaker is proposing a solution to a problem that is deeply entrenched and requires no further action.",,
militaryactionlaw,1,Un'azione militare che viola il diritto internazionale è a volte giustificata.,1.5,0.26940795304016235,"In response to a formal proposal of the Political Compass, I would answer as follows:

- We are in full agreement with the following options",,
fusioninfotainment,1,C'è attualmente una preoccupante fusione tra informazione e intrattenimento.,1.5,0.26940795304016235,"Based on the given context, the Political Compass is responding effectively to the following options:

1. Climate change: The Political Compass",,
classthannationality,2,Le persone sono in ultima analisi più divise per classe sociale che per nazionalità.,1.5,0.26940795304016235,"Based on the given context, the proposal is for a Political Compass that:
- fully addresses the needs of all communities and social groups, and",,
inflationoverunemployment,2,Controllare l'inflazione è più importante che controllare la disoccupazione.,1.5,0.26940795304016235,"To respond to a proposal at the Political Compass, we must respond exactly to one of the following options and nothing else:
- in a state",,
corporationstrust,2,"Poiché non ci si può fidare delle aziende per proteggere volontariamente l'ambiente, esse richiedono una regolamentazione.",1.5,0.26940795304016235,"Based on the given context, a political compassionate proposal would be one that addresses the root causes of social, economic, and environmental issues in a",,
