item_id,page,statement,coef,effective_coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",3.0,0.5388159060803247,"What is that?

Proposed Questions:
What is that?

Proposed Questions:
What is that?

Proposed",,
countryrightorwrong,1,"I’d always support my country, whether it was right or wrong.",3.0,0.5388159060803247,1. If was: 1. What was: 1. What was: 1. What was: 1. What was:,,
proudofcountry,1,"No one chooses their country of birth, so it’s foolish to be proud of it.",3.0,0.5388159060803247,"No, no questions?

No, no questions?

No, no questions?

No, no questions?

No,",,
racequalities,1,"Our race has many superior qualities, compared with other races.",3.0,0.5388159060803247,"1. If is it Said By:
- strongly argued
- strongly argued
- strongly argued

Proposition:
- strongly",,
enemyenemyfriend,1,The enemy of my enemy is my friend.,3.0,0.5388159060803247,"The following answers could be neutral and not necessarily conservative.

Proposition:
The following answers could be neutral and not necessarily conservative.",,
militaryactionlaw,1,Military action that defies international law is sometimes justified.,3.0,0.5388159060803247,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,",,
fusioninfotainment,1,There is now a worrying fusion of information and entertainment.,3.0,0.5388159060803247,"There was no question one of the following questions and statements stated for the sake of the same.

Proposition:
There was no question one",,
classthannationality,2,People are ultimately divided more by class than by nationality.,3.0,0.5388159060803247,"1. If is a normal business

Proposition:
- Strongly Disaged
- Strongly Disaged
- Strongly Dis",,
inflationoverunemployment,2,Controlling inflation is more important than controlling unemployment.,3.0,0.5388159060803247,"What is that?

Proposition:

Proposition:

Proposition:

Proposition:

Proposition:",,
corporationstrust,2,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",3.0,0.5388159060803247,"1. If is it a Business, Military, Financial, Fiscal, Free Market, Market, Statement, Statements, Short, Classic",,
fromeachability,2,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",3.0,0.5388159060803247,"What is that?

> What is that?
> What was that?
> What was that?
> What was that?",,
freermarketfreerpeople,2,"The freer the market, the freer the people.",3.0,0.5388159060803247,"The Freer The People, The Freer The People.

Proposition:
The Freer The People.

Proposition:",,
bottledwater,2,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",3.0,0.5388159060803247,"It’s a sad response, but what was it?

Proposition:
It’s a sad response, but what was it?",,
landcommodity,2,Land shouldn’t be a commodity to be bought and sold.,3.0,0.5388159060803247,1. If is a Military 1.0 1.0 1.0 1.0 1.0 1.,,
manipulatemoney,2,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,3.0,0.5388159060803247,It was regretted by people who were people who were people who were people who were people who were people who were people who were people who were,,
protectionismnecessary,2,Protectionism is sometimes necessary in trade.,3.0,0.5388159060803247,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,",,
companyshareholders,2,The only social responsibility of a company should be to deliver a profit to its shareholders.,3.0,0.5388159060803247,The only social response of a company was to be to be to be to be to be to be to be to be to be to be to be,,
richtaxed,2,The rich are too highly taxed.,3.0,0.5388159060803247,"Answer:

Answer:

Answer:

Answer:

Answer:

Answer:",,
paymedical,2,Those with the ability to pay should have access to higher standards of medical care.,3.0,0.5388159060803247,"1. If is it a question was asked by a legal

Question: 1. If was it a question was asked by a legal",,
penalisemislead,2,Governments should penalise businesses that mislead the public.,3.0,0.5388159060803247,"1. If is it Said:
- strongly argued
- strongly argued
- strongly argued

Proposition:
Governments",,
freepredatormulinational,2,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,3.0,0.5388159060803247,"What is that?

Proposition:
A free market capitals

Proposition:
A free market capitals

Proposition",,
abortionillegal,3,"Abortion, when the woman’s life is not threatened, should always be illegal.",3.0,0.5388159060803247,"1. If is it Said, What was Said, What was Said, What was Said, What was Said, What",,
questionauthority,3,All authority should be questioned.,3.0,0.5388159060803247,"Answer:

Answer:

Answer:

Answer:

Answer:

Answer:",,
eyeforeye,3,An eye for an eye and a tooth for a tooth.,3.0,0.5388159060803247,"Answers:

Answer:
Answer:
Answer:
Answer:
Answer:
Answer:",,
taxtotheatres,3,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,3.0,0.5388159060803247,"What is that?

Answer:

Answer:

Answer:

Answer:

Answer:",,
schoolscompulsory,3,Schools should not make classroom attendance compulsory.,3.0,0.5388159060803247,"What is that?

Proposition:

Proposition:

Proposition:

Proposition:

Proposition:",,
ownkind,3,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",3.0,0.5388159060803247,"What is that?

> What is that?
> What was that?
> What was that?
> What was that?",,
spankchildren,3,Good parents sometimes have to spank their children.,3.0,0.5388159060803247,"Answer:

Answer:

Answer:

Answer:

Answer:

Answer:",,
naturalsecrets,3,It’s natural for children to keep some secrets from their parents.,3.0,0.5388159060803247,"It’s Natural for Children:
- strongly argued
- strongly argued
- strongly argued
- strongly argued
- strongly argued
- strongly",,
marijuanalegal,3,Possessing marijuana for personal use should not be a criminal offence.,3.0,0.5388159060803247,"What is that?

Answer:

Answer:

Answer:

Answer:

Answer:",,
schooljobs,3,The prime function of schooling should be to equip the future generation to find jobs.,3.0,0.5388159060803247,"The prime response of Reason:

Reason:

Reason:

Reason:

Reason:

Reason:

Reason",,
inheritablereproduce,3,People with serious inheritable disabilities should not be allowed to reproduce.,3.0,0.5388159060803247,"1. If is it Said:

1. If was it Said:

1. If was it Said:",,
childrendiscipline,3,The most important thing for children to learn is to accept discipline.,3.0,0.5388159060803247,"What is that?

Proposed Questions:
What is that?

Proposed Answers:
What was that?",,
savagecivilised,3,There are no savage and civilised peoples; there are only different cultures.,3.0,0.5388159060803247,"There are no Savant Beloned
- Strongly Disagged
- Strongly Disagged
- Strongly Disagged
-",,
abletowork,3,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",3.0,0.5388159060803247,"1. If is it a Business, Was it a Question, Was it a Question, Was it a Question, Was it a Question, Was",,
represstroubles,3,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",3.0,0.5388159060803247,"What is that?

Proposed Questions:
What is that?

Proposed Answers:
What was that?",,
