model,root,side,language,coef,stance,count,total,parsed,parse_rate,proportion_total,proportion_parsed,mean_choice
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.0,strongly disagree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.0,disagree,28,62,62,1.0,0.45161290322580644,0.45161290322580644,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.0,agree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.0,strongly agree,4,62,62,1.0,0.06451612903225806,0.06451612903225806,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.0,unparsed,0,62,62,1.0,0.0,,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.8,strongly disagree,17,62,62,1.0,0.27419354838709675,0.27419354838709675,1.1129032258064515
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.8,disagree,26,62,62,1.0,0.41935483870967744,0.41935483870967744,1.1129032258064515
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.8,agree,14,62,62,1.0,0.22580645161290322,0.22580645161290322,1.1129032258064515
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.8,strongly agree,5,62,62,1.0,0.08064516129032258,0.08064516129032258,1.1129032258064515
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,0.8,unparsed,0,62,62,1.0,0.0,,1.1129032258064515
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,1.5,strongly disagree,18,62,62,1.0,0.2903225806451613,0.2903225806451613,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,1.5,disagree,24,62,62,1.0,0.3870967741935484,0.3870967741935484,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,1.5,agree,14,62,62,1.0,0.22580645161290322,0.22580645161290322,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,1.5,strongly agree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,1.5,unparsed,0,62,62,1.0,0.0,,1.1290322580645162
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,2.5,strongly disagree,17,62,62,1.0,0.27419354838709675,0.27419354838709675,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,2.5,disagree,25,62,62,1.0,0.4032258064516129,0.4032258064516129,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,2.5,agree,13,62,62,1.0,0.20967741935483872,0.20967741935483872,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,2.5,strongly agree,7,62,62,1.0,0.11290322580645161,0.11290322580645161,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,2.5,unparsed,0,62,62,1.0,0.0,,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,4.0,strongly disagree,14,62,62,1.0,0.22580645161290322,0.22580645161290322,1.2580645161290323
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,4.0,disagree,27,62,62,1.0,0.43548387096774194,0.43548387096774194,1.2580645161290323
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,4.0,agree,12,62,62,1.0,0.1935483870967742,0.1935483870967742,1.2580645161290323
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,4.0,strongly agree,9,62,62,1.0,0.14516129032258066,0.14516129032258066,1.2580645161290323
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,en,4.0,unparsed,0,62,62,1.0,0.0,,1.2580645161290323
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.0,strongly disagree,10,62,62,1.0,0.16129032258064516,0.16129032258064516,1.1774193548387097
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.0,disagree,36,62,62,1.0,0.5806451612903226,0.5806451612903226,1.1774193548387097
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.0,agree,11,62,62,1.0,0.1774193548387097,0.1774193548387097,1.1774193548387097
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.0,strongly agree,5,62,62,1.0,0.08064516129032258,0.08064516129032258,1.1774193548387097
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.0,unparsed,0,62,62,1.0,0.0,,1.1774193548387097
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.8,strongly disagree,9,62,62,1.0,0.14516129032258066,0.14516129032258066,1.1935483870967742
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.8,disagree,37,62,62,1.0,0.5967741935483871,0.5967741935483871,1.1935483870967742
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.8,agree,11,62,62,1.0,0.1774193548387097,0.1774193548387097,1.1935483870967742
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.8,strongly agree,5,62,62,1.0,0.08064516129032258,0.08064516129032258,1.1935483870967742
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,0.8,unparsed,0,62,62,1.0,0.0,,1.1935483870967742
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,1.5,strongly disagree,8,62,62,1.0,0.12903225806451613,0.12903225806451613,1.2419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,1.5,disagree,37,62,62,1.0,0.5967741935483871,0.5967741935483871,1.2419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,1.5,agree,11,62,62,1.0,0.1774193548387097,0.1774193548387097,1.2419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,1.5,strongly agree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,1.2419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,1.5,unparsed,0,62,62,1.0,0.0,,1.2419354838709677
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,2.5,strongly disagree,8,62,62,1.0,0.12903225806451613,0.12903225806451613,1.2258064516129032
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,2.5,disagree,37,62,62,1.0,0.5967741935483871,0.5967741935483871,1.2258064516129032
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,2.5,agree,12,62,62,1.0,0.1935483870967742,0.1935483870967742,1.2258064516129032
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,2.5,strongly agree,5,62,62,1.0,0.08064516129032258,0.08064516129032258,1.2258064516129032
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,2.5,unparsed,0,62,62,1.0,0.0,,1.2258064516129032
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,4.0,strongly disagree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,1.2096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,4.0,disagree,39,62,62,1.0,0.6290322580645161,0.6290322580645161,1.2096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,4.0,agree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,1.2096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,4.0,strongly agree,2,62,62,1.0,0.03225806451612903,0.03225806451612903,1.2096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,it,4.0,unparsed,0,62,62,1.0,0.0,,1.2096774193548387
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.0,strongly disagree,38,62,62,1.0,0.6129032258064516,0.6129032258064516,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.0,disagree,7,62,62,1.0,0.11290322580645161,0.11290322580645161,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.0,agree,2,62,62,1.0,0.03225806451612903,0.03225806451612903,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.0,strongly agree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.0,unparsed,0,62,62,1.0,0.0,,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.8,strongly disagree,38,62,62,1.0,0.6129032258064516,0.6129032258064516,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.8,disagree,7,62,62,1.0,0.11290322580645161,0.11290322580645161,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.8,agree,2,62,62,1.0,0.03225806451612903,0.03225806451612903,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.8,strongly agree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,0.8,unparsed,0,62,62,1.0,0.0,,0.9032258064516129
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,1.5,strongly disagree,40,62,62,1.0,0.6451612903225806,0.6451612903225806,0.8387096774193549
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,1.5,disagree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,0.8387096774193549
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,1.5,agree,2,62,62,1.0,0.03225806451612903,0.03225806451612903,0.8387096774193549
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,1.5,strongly agree,14,62,62,1.0,0.22580645161290322,0.22580645161290322,0.8387096774193549
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,1.5,unparsed,0,62,62,1.0,0.0,,0.8387096774193549
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,2.5,strongly disagree,40,62,62,1.0,0.6451612903225806,0.6451612903225806,0.8548387096774194
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,2.5,disagree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,0.8548387096774194
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,2.5,agree,1,62,62,1.0,0.016129032258064516,0.016129032258064516,0.8548387096774194
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,2.5,strongly agree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,0.8548387096774194
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,2.5,unparsed,0,62,62,1.0,0.0,,0.8548387096774194
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,4.0,strongly disagree,37,62,62,1.0,0.5967741935483871,0.5967741935483871,0.9193548387096774
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,4.0,disagree,8,62,62,1.0,0.12903225806451613,0.12903225806451613,0.9193548387096774
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,4.0,agree,2,62,62,1.0,0.03225806451612903,0.03225806451612903,0.9193548387096774
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,4.0,strongly agree,15,62,62,1.0,0.24193548387096775,0.24193548387096775,0.9193548387096774
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,fr,4.0,unparsed,0,62,62,1.0,0.0,,0.9193548387096774
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.0,strongly disagree,18,62,62,1.0,0.2903225806451613,0.2903225806451613,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.0,disagree,27,62,62,1.0,0.43548387096774194,0.43548387096774194,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.0,agree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.0,strongly agree,11,62,62,1.0,0.1774193548387097,0.1774193548387097,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.0,unparsed,0,62,62,1.0,0.0,,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.8,strongly disagree,18,62,62,1.0,0.2903225806451613,0.2903225806451613,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.8,disagree,27,62,62,1.0,0.43548387096774194,0.43548387096774194,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.8,agree,6,62,62,1.0,0.0967741935483871,0.0967741935483871,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.8,strongly agree,11,62,62,1.0,0.1774193548387097,0.1774193548387097,1.1612903225806452
Qwen2.5-7B-Instruct,/Users/gengliu/political-bias-shareable/outputs/ideology_840_mps/run_840_mps_promptfixed_20260423_141925,left,es,0.8,unparsed,0,62,62,1.0,0.0,,1.1612903225806452
