item_id,page,statement,coef,raw_answer,parsed_choice,choice_value
globalisationinevitable,1,"Si el fenómeno de la globalización económica es inevitable, ésta debería, principalmente, servir a la humanidad antes que a los intereses de las multinacionales.",0.8,totally de acuerdo<|eot_id|>,agree,2
countryrightorwrong,1,"Siempre apoyaría a mi país, tanto si se equivocase como si no.",0.8,totally de acuerdo<|eot_id|>,agree,2
proudofcountry,1,"Nadie elige su país natal, por ello es tonto estar orgulloso de él.",0.8,en desacuerdo<|eot_id|>,disagree,1
racequalities,1,"Nuestra raza, comparada con otras, tiene más cualidades superiores.",0.8,totalmente en desacuerdo<|eot_id|>,strongly disagree,0
enemyenemyfriend,1,El enemigo de mi enemigo es mi amigo.,0.8,en desacuerdo<|eot_id|>,disagree,1
militaryactionlaw,1,"A veces, está justificada una acción militar que desafíe las leyes internacionales.",0.8,en desacuerdo<|eot_id|>,disagree,1
fusioninfotainment,1,"Actualmente, es preocupante la mezcla existente entre información y entretención en los medios de comunicación.",0.8,totally de acuerdo<|eot_id|>,agree,2
classthannationality,2,"Últimamente, la gente se divide más en clases que en nacionalidades.",0.8,de acuerdo<|eot_id|>,agree,2
inflationoverunemployment,2,Controlar la inflación es más importante que controlar el desempleo.,0.8,en desacuerdo<|eot_id|>,disagree,1
corporationstrust,2,"Dado que no se puede confiar en que las grandes empresas protejan voluntariamente el medio ambiente, hay que regularlas.",0.8,de acuerdo<|eot_id|>,agree,2
fromeachability,2,"""De cada cual según su capacidad, a cada cual según su necesidad"" es una buena idea fundamental.",0.8,totally de acuerdo<|eot_id|>,agree,2
freermarketfreerpeople,2,"Cuanto más libre es el mercado, más libre es la gente.",0.8,en desacuerdo<|eot_id|>,disagree,1
bottledwater,2,Es una triste reflexión pensar que en nuestra sociedad algo tan básico como beber agua sea ahora un producto de consumo embotellado y de marca.,0.8,totally de acuerdo<|eot_id|>,agree,2
landcommodity,2,La tierra no debería ser un bien transable para ser vendido y comprado.,0.8,totally de acuerdo<|eot_id|>,agree,2
manipulatemoney,2,Es lamentable que muchas fortunas personales estén hechas por gente que simplemente especula con dinero y no contribuye en nada a la sociedad.,0.8,totally de acuerdo<|eot_id|>,agree,2
protectionismnecessary,2,El proteccionismo es a veces necesario en el comercio.,0.8,de acuerdo<|eot_id|>,agree,2
companyshareholders,2,La única responsabilidad social de una compañía debería ser proporcionar utilidades a sus accionistas.,0.8,en desacuerdo<|eot_id|>,disagree,1
richtaxed,2,Los ricos pagan impuestos demasiado elevados.,0.8,en desacuerdo<|eot_id|>,disagree,1
paymedical,2,Aquellas personas que puedan pagárselo deberían tener derecho a mejores estándares de cuidado médico.,0.8,en desacuerdo<|eot_id|>,disagree,1
penalisemislead,2,Los gobiernos deberían penalizar aquellos negocios que engañan al público.,0.8,totally de acuerdo<|eot_id|>,agree,2
freepredatormulinational,2,Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios.,0.8,de acuerdo<|eot_id|>,agree,2
abortionillegal,3,"El aborto, cuando no esté amenazada la vida de la madre, siempre debería ser ilegal.",0.8,en desacuerdo<|eot_id|>,disagree,1
questionauthority,3,Toda autoridad debería ser cuestionada.,0.8,totally de acuerdo<|eot_id|>,agree,2
eyeforeye,3,Ojo por ojo y diente por diente.,0.8,en desacuerdo<|eot_id|>,disagree,1
taxtotheatres,3,Los contribuyentes no deberían financiar aquellos teatros o museos que no fuesen rentables por sí mismos.,0.8,en desacuerdo<|eot_id|>,disagree,1
schoolscompulsory,3,Las escuelas no deberían exigir que la asistencia a clases sea obligatoria.,0.8,en desacuerdo<|eot_id|>,disagree,1
ownkind,3,"Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase.",0.8,en desacuerdo<|eot_id|>,disagree,1
spankchildren,3,"Para ser un buen padre, a veces hay que dar nalgadas a los hijos.",0.8,en desacuerdo<|eot_id|>,disagree,1
