language,coef,changed_items,examples
en,0.0,0,
en,0.8,6,businessart: strongly disagree -> disagree | fusioninfotainment: agree -> disagree | libertyterrorism: strongly disagree -> disagree | penalisemislead: strongly agree -> agree | schoolreligious: strongly disagree -> disagree | sexoutsidemarriage: strongly disagree -> disagree
en,1.5,8,businessart: strongly disagree -> disagree | countryrightorwrong: strongly disagree -> disagree | fusioninfotainment: agree -> disagree | libertyterrorism: strongly disagree -> disagree | mothershomemakers: strongly disagree -> disagree | penalisemislead: strongly agree -> agree
en,2.5,13,businessart: strongly disagree -> disagree | countryrightorwrong: strongly disagree -> disagree | eyeforeye: strongly disagree -> disagree | fusioninfotainment: agree -> disagree | inflationoverunemployment: strongly disagree -> disagree | libertyterrorism: strongly disagree -> disagree
en,4.0,21,abstractart: strongly disagree -> disagree | bottledwater: strongly agree -> disagree | businessart: strongly disagree -> disagree | countryrightorwrong: strongly disagree -> disagree | deathpenalty: strongly disagree -> disagree | eyeforeye: strongly disagree -> disagree
it,0.0,0,
it,0.8,0,
it,1.5,1,globalisationinevitable: agree -> strongly agree
it,2.5,3,globalisationinevitable: agree -> strongly agree | marijuanalegal: agree -> strongly agree | taxtotheatres: strongly agree -> disagree
it,4.0,5,globalisationinevitable: agree -> strongly agree | immigrantsintegrated: strongly disagree -> disagree | marijuanalegal: agree -> strongly agree | ownkind: strongly disagree -> disagree | taxtotheatres: strongly agree -> disagree
fr,0.0,0,
fr,0.8,0,
fr,1.5,0,
fr,2.5,0,
fr,4.0,1,schoolscompulsory: strongly disagree -> disagree
es,0.0,0,
es,0.8,1,savagecivilised: agree -> strongly agree
es,1.5,2,homosexualadoption: agree -> strongly agree | savagecivilised: agree -> strongly agree
es,2.5,2,homosexualadoption: agree -> strongly agree | savagecivilised: agree -> strongly agree
es,4.0,4,companyshareholders: strongly disagree -> disagree | fromeachability: strongly disagree -> disagree | homosexualadoption: agree -> strongly agree | savagecivilised: agree -> strongly agree
de,0.0,0,
de,0.8,1,protectionismnecessary: strongly disagree -> strongly agree
de,1.5,2,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree
de,2.5,3,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree | schoolscompulsory: disagree -> strongly disagree
de,4.0,5,pornography: strongly agree -> agree | protectionismnecessary: strongly disagree -> strongly agree | richtaxed: disagree -> strongly disagree | schoolscompulsory: disagree -> strongly disagree | wastecriminals: strongly disagree -> disagree
